id,key,value,type
206122532,ref,9A,regular
206122535,exit_to,Bellavista;Dos Hermanas,regular
206122535,highway,motorway_junction,regular
206122535,ref,9B,regular
206127649,highway,motorway_junction,regular
206127731,exit_to,San Juan de Aznalfarache/Tomares/Camas,regular
206127731,highway,motorway_junction,regular
206127731,ref,15B,regular
206127731,source,survey,regular
206127736,highway,motorway_junction,regular
206127736,ref,17A,regular
206128440,highway,traffic_signals,regular
206128450,exit_to,ronda urb. Norte;E-803 A-66 Mérida;E-5;SE-30;A-92 Granada,regular
206128450,highway,motorway_junction,regular
206128840,maxspeed,80,regular
206128840,source,survey,regular
206128840,maxspeed,sign,source
206128840,traffic_sign,maxspeed,regular
206128857,exit_to,Sevilla;Avenida Kansas City;Ronda urbana Norte;E-803 A-66 Mérida,regular
206128857,highway,motorway_junction,regular
206128857,ref,0,regular
206128857,source,survey,regular
206129603,exit_to,E-5 A-4;Aeropuerto;Carmona;Córdoba,regular
206129603,highway,motorway_junction,regular
206129603,lanes,1,regular
206129603,source,survey,regular
206129674,highway,give_way,regular
206129778,highway,give_way,regular
206130085,highway,give_way,regular
206130342,exit_to,Parque Alcosa; A-8008 Brenes; SE-20 I. Cartuja,regular
206130342,highway,motorway_junction,regular
206130342,ref,535,regular
206130681,crossing,traffic_signals,regular
206130681,highway,traffic_signals,regular
206130689,highway,traffic_signals,regular
206131154,maxspeed,60,regular
206131154,traffic_sign,maxspeed,regular
206131175,crossing,traffic_signals,regular
206131175,highway,crossing,regular
206131330,highway,traffic_signals,regular
206131435,crossing,traffic_signals,regular
206131435,highway,crossing,regular
206181469,crossing,uncontrolled,regular
206181469,crossing_ref,zebra,regular
206181469,highway,crossing,regular
206181469,tactile_paving,no,regular
206181469,wheelchair,yes,regular
206358577,wheelchair,limited,regular
206396027,crossing,uncontrolled,regular
206396027,crossing_ref,zebra,regular
206396027,highway,crossing,regular
206396027,source,survey,regular
206396056,crossing,uncontrolled,regular
206396056,highway,crossing,regular
206396056,tactile_paving,no,regular
206396056,wheelchair,yes,regular
206396058,crossing,uncontrolled,regular
206396058,highway,crossing,regular
206396058,tactile_paving,no,regular
206396058,wheelchair,yes,regular
206396060,crossing,uncontrolled,regular
