id,lat,lon,user,uid,version,changeset,timestamp
197992446,37.3866967,-5.9911239,erlenmeyer,875518,12,34721300,2015-10-18T21:45:49Z
197992453,37.3871350,-5.9910844,erlenmeyer,875518,8,34721300,2015-10-18T21:45:49Z
197992466,37.3894980,-5.9945763,BoomEngine,288925,11,79129060,2020-01-02T20:07:35Z
197992468,37.3897687,-5.9946611,Alberto Molina,161725,7,4550245,2010-04-28T15:02:31Z
197992469,37.3899839,-5.9947222,erlenmeyer,875518,12,41346285,2016-08-09T14:11:43Z
197992472,37.3900080,-5.9945898,erlenmeyer,875518,8,41346285,2016-08-09T14:11:43Z
197992475,37.3900605,-5.9945233,erlenmeyer,875518,8,41346285,2016-08-09T14:11:43Z
197992479,37.3900885,-5.9943393,erlenmeyer,875518,8,34099799,2015-09-18T10:23:07Z
197992488,37.3910790,-5.9941711,Alberto Molina,161725,6,5200770,2010-07-12T17:10:19Z
197992499,37.3911680,-5.9934491,Alberto Molina,161725,7,5200770,2010-07-12T17:09:55Z
197992502,37.3900700,-5.9943215,erlenmeyer,875518,7,34099799,2015-09-18T10:23:07Z
197992509,37.3901223,-5.9938089,erlenmeyer,875518,8,34099799,2015-09-18T10:23:07Z
197992520,37.3902058,-5.9932631,erlenmeyer,875518,8,34083070,2015-09-17T12:48:28Z
197992524,37.3934494,-5.9936896,erlenmeyer,875518,13,40442173,2016-07-02T15:04:10Z
197992529,37.3937051,-5.9938470,erlenmeyer,875518,25,40442173,2016-07-02T15:04:10Z
197992533,37.3935287,-5.9947506,erlenmeyer,875518,31,40737928,2016-07-14T12:14:57Z
197992538,37.3927557,-5.9948315,erlenmeyer,875518,18,34349292,2015-09-30T15:10:54Z
197992541,37.3936129,-5.9937839,erlenmeyer,875518,8,40442173,2016-07-02T15:04:10Z
197992552,37.3936269,-5.9928394,erlenmeyer,875518,6,40441613,2016-07-02T14:34:35Z
197992556,37.3935943,-5.9926634,pedrobl,71451,5,753428,2008-11-15T00:37:23Z
197992569,37.3917071,-5.9922651,erlenmeyer,875518,7,41220604,2016-08-03T18:12:03Z
197992574,37.3918356,-5.9925649,erlenmeyer,875518,9,41220604,2016-08-03T18:12:03Z
197992575,37.3917075,-5.9926488,erlenmeyer,875518,9,40780055,2016-07-16T13:46:23Z
197992577,37.3916827,-5.9927264,erlenmeyer,875518,9,40780055,2016-07-16T13:46:23Z
197992580,37.3910941,-5.9927451,Alberto Molina,161725,10,5200770,2010-07-12T17:09:51Z
197992585,37.3909320,-5.9930931,Alberto Molina,161725,6,5200770,2010-07-12T17:10:26Z
197992590,37.3910879,-5.9931001,Alberto Molina,161725,6,5200770,2010-07-12T17:10:07Z
197992592,37.3913672,-5.9931788,erlenmeyer,875518,7,34311129,2015-09-28T19:10:05Z
197992599,37.3913075,-5.9927370,erlenmeyer,875518,7,34311129,2015-09-28T19:10:05Z
197992603,37.3914092,-5.9942751,erlenmeyer,875518,7,34215457,2015-09-23T21:44:26Z
199366046,37.3859418,-5.9955140,Alberto Molina,161725,12,5198403,2010-07-12T12:05:28Z
199366050,37.3861502,-5.9947974,Alberto Molina,161725,11,5200770,2010-07-12T17:09:17Z
