id,node_id,position
18535436,191131090,0
18535436,3821426523,1
18535436,3817472519,2
18535436,3821426524,3
18535436,191131092,4
18535436,3821426522,5
18535436,191131093,6
18535436,3154114413,7
18535436,1971858724,8
18535436,3817472517,9
18535436,1971858711,10
18535436,1971858714,11
18535436,1971858708,12
18535436,1971858703,13
18535436,3821426516,14
18535436,3821426514,15
18535436,191131096,16
18535436,3786598536,17
18535436,1971858681,18
18535436,1971858677,19
18535436,191131098,20
18535436,3817472757,21
18535436,1971858671,22
18535436,1971858665,23
18535436,3786598534,24
18535436,191131100,25
18535436,3821426493,26
18535436,3821426487,27
18535436,191131102,28
18535436,1971858664,29
18535436,1971858661,30
18535436,1971858655,31
18535436,1971858653,32
18535436,3817472515,33
18535436,1971858645,34
18535436,1971858646,35
18535436,191131105,36
18535436,191131106,37
18535436,1519667048,38
18535436,1519667074,39
18535436,1971858621,40
18535436,1971858622,41
18535436,1971858625,42
18535436,1971858628,43
18535436,1519667088,44
18535436,3817472520,45
18535436,1519667083,46
18535436,1971858623,47
18535436,1971858619,48
18535436,1971858616,49
18535436,1519667079,50
18535436,1519667068,51
18535436,1519667041,52
18535436,1519667044,53
18535436,191131110,54
18535436,1971858612,55
18535436,191131111,56
18535436,191131115,57
18535436,1971858629,58
18535436,3817472526,59
18535436,1971858630,60
18535436,3817472533,61
18535436,3817472534,62
18535436,3817472535,63
18535436,1971858632,64
18535436,3817472513,65
18535436,1971858633,66
18535436,3817472537,67
18535436,3817472538,68
18535436,3817472539,69
18535436,3817472541,70
18535436,3817472540,71
18535436,3817472542,72
18535436,1971858634,73
18535436,1971858651,74
18535436,1971858649,75
18535436,1971858657,76
18535436,1971858659,77
18535436,3817472514,78
18535436,1971858669,79
18535436,1971858667,80
18535436,1971858674,81
18535436,1971858675,82
18535436,1971858679,83
18535436,3817472766,84
18535436,3817472769,85
18535436,3817472770,86
18535436,3817472773,87
18535436,3817472772,88
18535436,3817472774,89
18535436,3817472775,90
18535436,1971858683,91
18535436,3817472518,92
18535436,1971858699,93
18535436,3817472776,94
18535436,3817472777,95
18535436,3817472779,96
18535436,3817472778,97
18535436,3817472780,98
18535436,1971858704,99
18535436,1971858717,100
18535436,3817472781,101
18535436,244061096,102
18535436,244061093,103
18535436,191131090,104
18536016,191135798,0
18536016,191135799,1
